Name;Position;Duration;EasyTag
13;00:09:15.000;00:00:03.000;EasyTag
18;00:09:18.000;00:00:03.000;EasyTag
12;00:09:21.000;00:00:05.000;EasyTag
23;00:09:26.000;00:00:17.000;EasyTag
4;00:09:43.000;00:00:02.000;EasyTag
6;00:09:45.000;00:00:01.000;EasyTag
25;00:09:46.000;00:00:02.000;EasyTag
8;00:09:48.000;00:00:03.000;EasyTag
10;00:09:51.000;00:00:09.000;EasyTag
27;00:10:00.000;00:00:09.000;EasyTag
19;00:10:09.000;00:00:02.000;EasyTag
26;00:10:11.000;00:00:04.000;EasyTag
17;00:10:15.000;00:00:07.000;EasyTag
3;00:10:22.000;00:00:03.000;EasyTag
11;00:10:25.000;00:00:02.000;EasyTag
16;00:10:27.000;00:00:01.000;EasyTag
2;00:10:28.000;00:00:01.000;EasyTag
14;00:10:29.000;00:00:03.000;EasyTag
9;00:10:32.000;00:00:13.000;EasyTag
13;00:10:45.000;00:00:02.000;EasyTag
24;00:10:47.000;00:00:05.000;EasyTag
18;00:10:52.000;00:00:03.000;EasyTag
12;00:10:55.000;00:00:04.000;EasyTag
21;00:10:59.000;00:00:02.000;EasyTag
7;00:11:01.000;00:00:07.000;EasyTag
5;00:11:08.000;00:00:09.000;EasyTag
25;00:11:17.000;00:00:05.000;EasyTag
23;00:11:22.000;00:00:15.000;EasyTag
22;00:11:37.000;00:00:02.000;EasyTag
27;00:11:39.000;00:00:02.000;EasyTag
6;00:11:41.000;00:00:02.000;EasyTag
23;00:11:43.000;00:00:02.000;EasyTag
10;00:11:45.000;00:00:01.000;EasyTag
8;00:11:46.000;00:00:01.000;EasyTag
9;00:11:47.000;00:00:04.000;EasyTag
19;00:11:51.000;00:00:02.000;EasyTag
26;00:11:53.000;00:00:10.000;EasyTag
17;00:12:03.000;00:00:11.000;EasyTag
13;00:12:14.000;00:00:04.000;EasyTag
24;00:12:18.000;00:00:04.000;EasyTag
18;00:12:22.000;00:00:03.000;EasyTag
25;00:12:25.000;00:00:02.000;EasyTag
16;00:12:27.000;00:00:02.000;EasyTag
2;00:12:29.000;00:00:01.000;EasyTag
14;00:12:30.000;00:00:05.000;EasyTag
12;00:12:35.000;00:00:08.000;EasyTag
23;00:12:43.000;00:00:19.000;EasyTag
21;00:13:02.000;00:00:01.000;EasyTag
27;00:13:03.000;00:00:03.000;EasyTag
11;00:13:06.000;00:00:01.000;EasyTag
3;00:13:07.000;00:00:02.000;EasyTag
9;00:13:09.000;00:00:01.000;EasyTag
7;00:13:10.000;00:00:18.000;EasyTag
19;00:13:28.000;00:00:02.000;EasyTag
26;00:13:30.000;00:00:11.000;EasyTag
10;00:13:41.000;00:00:01.000;EasyTag
8;00:13:42.000;00:00:08.000;EasyTag
6;00:13:50.000;00:00:05.000;EasyTag
17;00:13:55.000;00:00:01.000;EasyTag
13;00:13:56.000;00:00:02.000;EasyTag
24;00:13:58.000;00:00:03.000;EasyTag
25;00:14:01.000;00:00:04.000;EasyTag
18;00:14:05.000;00:00:03.000;EasyTag
16;00:14:08.000;00:00:01.000;EasyTag
2;00:14:09.000;00:00:09.000;EasyTag
28;00:14:18.000;00:00:02.000;EasyTag
22;00:14:20.000;00:00:06.000;EasyTag
12;00:14:26.000;00:00:02.000;EasyTag
14;00:14:28.000;00:00:03.000;EasyTag
9;00:14:31.000;00:00:02.000;EasyTag
5;00:14:33.000;00:00:05.000;EasyTag
23;00:14:38.000;00:00:04.000;EasyTag
27;00:14:42.000;00:00:03.000;EasyTag
21;00:14:45.000;00:00:24.000;EasyTag
25;00:15:09.000;00:00:09.000;EasyTag
19;00:15:18.000;00:00:03.000;EasyTag
26;00:15:21.000;00:00:03.000;EasyTag
13;00:15:27.000;00:00:01.000;EasyTag
24;00:15:28.000;00:00:01.000;EasyTag
16;00:15:29.000;00:00:01.000;EasyTag
2;00:15:30.000;00:00:03.000;EasyTag
10;00:15:33.000;00:00:01.000;EasyTag
8;00:15:34.000;00:00:07.000;EasyTag
6;00:15:41.000;00:00:03.000;EasyTag
7;00:15:44.000;00:00:03.000;EasyTag
