Name;Position;Duration;EasyTag
21;00:09:10.000;00:00:02.000;EasyTag
15;00:09:12.000;00:00:03.000;EasyTag
2;00:09:15.000;00:00:11.000;EasyTag
19;00:09:26.000;00:00:02.000;EasyTag
23;00:09:28.000;00:00:01.000;EasyTag
6;00:09:29.000;00:00:03.000;EasyTag
13;00:09:32.000;00:00:03.000;EasyTag
22;00:09:35.000;00:00:19.000;EasyTag
17;00:09:54.000;00:00:01.000;EasyTag
11;00:09:55.000;00:00:01.000;EasyTag
4;00:09:56.000;00:00:02.000;EasyTag
18;00:09:58.000;00:00:03.000;EasyTag
20;00:10:01.000;00:00:06.000;EasyTag
9;00:10:07.000;00:00:02.000;EasyTag
10;00:10:09.000;00:00:05.000;EasyTag
8;00:10:14.000;00:00:01.000;EasyTag
3;00:10:15.000;00:00:06.000;EasyTag
24;00:10:21.000;00:00:01.000;EasyTag
14;00:10:22.000;00:00:02.000;EasyTag
25;00:10:24.000;00:00:14.000;EasyTag
12;00:10:38.000;00:00:02.000;EasyTag
7;00:10:40.000;00:00:03.000;EasyTag
16;00:10:43.000;00:00:02.000;EasyTag
1;00:10:45.000;00:00:04.000;EasyTag
15;00:10:49.000;00:00:01.000;EasyTag
2;00:10:50.000;00:00:06.000;EasyTag
21;00:10:56.000;00:00:05.000;EasyTag
13;00:11:01.000;00:00:02.000;EasyTag
6;00:11:03.000;00:00:07.000;EasyTag
22;00:11:10.000;00:00:09.000;EasyTag
17;00:11:19.000;00:00:03.000;EasyTag
19;00:11:22.000;00:00:01.000;EasyTag
23;00:11:23.000;00:00:08.000;EasyTag
18;00:11:31.000;00:00:03.000;EasyTag
24;00:11:34.000;00:00:03.000;EasyTag
20;00:11:37.000;00:00:05.000;EasyTag
10;00:11:42.000;00:00:04.000;EasyTag
14;00:11:46.000;00:00:04.000;EasyTag
4;00:11:50.000;00:00:05.000;EasyTag
9;00:11:55.000;00:00:01.000;EasyTag
15;00:11:56.000;00:00:01.000;EasyTag
3;00:11:57.000;00:00:01.000;EasyTag
2;00:11:58.000;00:00:01.000;EasyTag
8;00:11:59.000;00:00:06.000;EasyTag
25;00:12:05.000;00:00:02.000;EasyTag
11;00:12:07.000;00:00:16.000;EasyTag
13;00:12:23.000;00:00:05.000;EasyTag
6;00:12:28.000;00:00:16.000;EasyTag
22;00:12:44.000;00:00:01.000;EasyTag
17;00:12:45.000;00:00:02.000;EasyTag
21;00:12:47.000;00:00:06.000;EasyTag
24;00:12:53.000;00:00:09.000;EasyTag
18;00:13:02.000;00:00:03.000;EasyTag
19;00:13:05.000;00:00:01.000;EasyTag
23;00:13:06.000;00:00:02.000;EasyTag
20;00:13:08.000;00:00:01.000;EasyTag
15;00:13:09.000;00:00:00.000;EasyTag
2;00:13:09.000;00:00:01.000;EasyTag
1;00:13:10.000;00:00:01.000;EasyTag
12;00:13:11.000;00:00:00.000;EasyTag
16;00:13:11.000;00:00:02.000;EasyTag
7;00:13:13.000;00:00:20.000;EasyTag
10;00:13:33.000;00:00:01.000;EasyTag
14;00:13:34.000;00:00:03.000;EasyTag
8;00:13:37.000;00:00:04.000;EasyTag
4;00:13:45.000;00:00:01.000;EasyTag
3;00:13:46.000;00:00:01.000;EasyTag
6;00:13:47.000;00:00:02.000;EasyTag
9;00:13:49.000;00:00:01.000;EasyTag
13;00:13:50.000;00:00:05.000;EasyTag
25;00:13:55.000;00:00:12.000;EasyTag
24;00:14:07.000;00:00:02.000;EasyTag
17;00:14:09.000;00:00:09.000;EasyTag
15;00:14:18.000;00:00:01.000;EasyTag
22;00:14:19.000;00:00:04.000;EasyTag
21;00:14:23.000;00:00:08.000;EasyTag
11;00:14:31.000;00:00:01.000;EasyTag
20;00:14:32.000;00:00:03.000;EasyTag
18;00:14:35.000;00:00:07.000;EasyTag
2;00:14:42.000;00:00:19.000;EasyTag
19;00:15:01.000;00:00:02.000;EasyTag
23;00:15:03.000;00:00:12.000;EasyTag
6;00:15:15.000;00:00:03.000;EasyTag
14;00:15:18.000;00:00:01.000;EasyTag
10;00:15:19.000;00:00:02.000;EasyTag
8;00:15:21.000;00:00:01.000;EasyTag
24;00:15:22.000;00:00:02.000;EasyTag
12;00:15:24.000;00:00:01.000;EasyTag
3;00:15:25.000;00:00:01.000;EasyTag
13;00:15:26.000;00:00:01.000;EasyTag
7;00:15:27.000;00:00:02.000;EasyTag
17;00:15:29.000;00:00:01.000;EasyTag
25;00:15:30.000;00:00:02.000;EasyTag
1;00:15:32.000;00:00:01.000;EasyTag
16;00:15:33.000;00:00:02.000;EasyTag
9;00:15:35.000;00:00:01.000;EasyTag
4;00:15:36.000;00:00:15.000;EasyTag
21;00:15:51.000;00:00:03.000;EasyTag
15;00:15:54.000;00:00:06.000;EasyTag
22;00:16:00.000;00:00:02.000;EasyTag
2;00:16:02.000;00:00:02.000;EasyTag
18;00:16:04.000;00:00:02.000;EasyTag
20;00:16:06.000;00:00:30.000;EasyTag
24;00:16:36.000;00:00:07.000;EasyTag
6;00:16:43.000;00:00:03.000;EasyTag
11;00:16:46.000;00:00:05.000;EasyTag
17;00:16:51.000;00:00:04.000;EasyTag
19;00:16:55.000;00:00:01.000;EasyTag
23;00:16:56.000;00:00:01.000;EasyTag
13;00:16:57.000;00:00:02.000;EasyTag
15;00:16:59.000;00:00:02.000;EasyTag
14;00:17:01.000;00:00:01.000;EasyTag
8;00:17:02.000;00:00:01.000;EasyTag
3;00:17:03.000;00:00:02.000;EasyTag
10;00:17:05.000;00:00:05.000;EasyTag
25;00:17:10.000;00:00:08.000;EasyTag
2;00:17:18.000;00:00:07.000;EasyTag
9;00:17:25.000;00:00:04.000;EasyTag
18;00:17:29.000;00:00:02.000;EasyTag
20;00:17:31.000;00:00:02.000;EasyTag
21;00:17:33.000;00:00:04.000;EasyTag
22;00:17:37.000;00:00:03.000;EasyTag
4;00:17:40.000;00:00:02.000;EasyTag
12;00:17:42.000;00:00:02.000;EasyTag
7;00:17:44.000;00:00:01.000;EasyTag
16;00:17:45.000;00:00:01.000;EasyTag
1;00:17:46.000;00:00:06.000;EasyTag
24;00:17:52.000;00:00:11.000;EasyTag
6;00:18:03.000;00:00:04.000;EasyTag
15;00:18:07.000;00:00:11.000;EasyTag
